starid,Teff,Prot,ref,source,source_id,ra,dec,angular_distance
KIC1572038,4994.000000,11.21,santos19,kepler,Gaia DR3 2051764877275416192,291.121138,37.171558,0.000027
KIC1572433,4678.000000,35.43,santos19,kepler,Gaia DR3 2051763709044322944,291.207650,37.137656,0.000045
KIC1572802,3876.000000,0.37,santos19,kepler,Gaia DR3 2051762643892077952,291.295752,37.155865,0.000054
KIC1573478,4565.000000,17.84,santos19,kepler,Gaia DR3 2051750205666895232,291.430769,37.151725,0.000017
KIC1574944,4798.000000,17.47,santos19,kepler,Gaia DR3 2051752610848750592,291.729524,37.115804,0.000006
KIC1575424,4866.000000,34.7,santos19,kepler,Gaia DR3 2051729452383829888,291.829144,37.140611,0.000027
KIC1576141,4997.000000,2.72,santos19,kepler,Gaia DR3 2051727528238617600,291.980093,37.168684,0.000187
KIC1577167,3900.000000,22.58,santos19,kepler,Gaia DR3 2051713917478272256,292.179822,37.103136,0.000093
KIC1577265,3900.000000,15.0,santos19,kepler,Gaia DR3 2051720793730095488,292.201484,37.177117,0.000026
KIC1701553,4818.000000,27.23,santos19,kepler,Gaia DR3 2099066108017248128,286.178989,37.278145,0.000030
KIC1717515,5047.000000,26.12,santos19,kepler,Gaia DR3 2051027208049976320,290.573490,37.228011,0.000041
KIC1717999,4994.000000,28.98,santos19,kepler,Gaia DR3 2051024287472276992,290.684299,37.225023,0.000028
KIC1718071,3873.000000,21.37,santos19,kepler,Gaia DR3 2051030197347551872,290.705782,37.247596,0.000090
KIC1719166,4864.000000,17.59,santos19,kepler,Gaia DR3 2051018996072807936,290.973818,37.292091,0.000056
KIC1719358,4710.000000,13.61,santos19,kepler,Gaia DR3 2052517011944900736,291.021661,37.276593,0.000042
KIC1720196,4868.000000,12.35,santos19,kepler,Gaia DR3 2051767282457162752,291.235999,37.297667,0.000049
KIC1720670,3929.000000,14.59,santos19,kepler,Gaia DR3 2051763434166485632,291.353852,37.249113,0.000134
KIC1720673,4348.000000,19.66,santos19,kepler,Gaia DR3 2051763021849293184,291.355128,37.209588,0.000076
KIC1721157,5119.000000,11.69,santos19,kepler,Gaia DR3 2051768072730903552,291.457335,37.206851,0.000016
KIC1721911,3705.000000,29.18,santos19,kepler,Gaia DR3 2051757283773164544,291.620545,37.227167,0.000151
KIC1722134,5147.000000,26.13,santos19,kepler,Gaia DR3 2051754088317511296,291.670759,37.202298,0.000041
KIC1722506,4335.000000,10.53,santos19,kepler,Gaia DR3 2051753504201995392,291.741086,37.200112,0.000088
KIC1723529,5118.000000,34.22,santos19,kepler,Gaia DR3 2051731754486498048,291.963446,37.264109,0.000034
KIC1724498,4362.000000,28.97,santos19,kepler,Gaia DR3 2051733575552804864,292.160838,37.268044,0.000063
KIC1724806,5134.000000,23.04,santos19,kepler,Gaia DR3 2051721515284659968,292.220318,37.228030,0.000051
KIC1725330,4400.000000,25.23,santos19,kepler,Gaia DR3 2051721996321083776,292.321552,37.216811,0.000043
KIC1849590,4187.000000,16.08,santos19,kepler,Gaia DR3 2099066967010769920,286.252806,37.311971,0.000068
KIC1849702,5026.000000,18.11,santos19,kepler,Gaia DR3 2099068444479581184,286.285929,37.386989,0.000073
KIC1865477,4999.000000,35.43,santos19,kepler,Gaia DR3 2051032293291440256,290.786060,37.311273,0.000070
KIC1865663,4121.000000,30.42,santos19,kepler,Gaia DR3 2051032946126550144,290.830709,37.387238,0.000184
KIC1865864,4848.000000,21.21,santos19,kepler,Gaia DR3 2051032155852580608,290.873015,37.362270,0.000092
KIC1865925,4685.000000,22.42,santos19,kepler,Gaia DR3 2051031880974676608,290.891436,37.349655,0.000031
KIC1866058,4733.000000,23.54,santos19,kepler,Gaia DR3 2052533126665386880,290.920311,37.367597,0.000059
KIC1866535,3755.000000,24.54,santos19,kepler,Gaia DR3 2052520757156432640,291.027208,37.352127,0.000043
KIC1866924,4256.000000,27.04,santos19,kepler,Gaia DR3 2052519142248798080,291.132191,37.359948,0.000089
KIC1866985,5167.000000,12.88,santos19,kepler,Gaia DR3 2052519275385763456,291.147574,37.385511,0.000060
KIC1866986,3986.000000,36.17,santos19,kepler,Gaia DR3 2052518077096894208,291.147842,37.316581,0.000113
KIC1867210,4977.000000,16.42,santos19,kepler,Gaia DR3 2052519417126758016,291.200952,37.380303,0.000015
KIC1867358,3625.000000,31.27,santos19,kepler,Gaia DR3 2052518317615126400,291.240072,37.331587,0.000041
KIC1867462,4485.000000,17.01,santos19,kepler,Gaia DR3 2052524399288853248,291.264174,37.382960,0.000073
KIC1867645,4827.000000,11.77,santos19,kepler,Gaia DR3 2051773879526977408,291.313715,37.387249,0.000034
KIC1868233,4847.000000,43.31,santos19,kepler,Gaia DR3 2051774566721779200,291.445155,37.385937,0.000086
KIC1868524,4686.000000,9.63,santos19,kepler,Gaia DR3 2051770374833464704,291.513016,37.309223,0.000013
KIC1868579,4231.000000,37.97,santos19,kepler,Gaia DR3 2051770168675039232,291.527761,37.300685,0.000067
KIC1869783,4721.000000,26.12,santos19,kepler,Gaia DR3 2051783568973541504,291.787411,37.394688,0.000072
KIC1871120,4074.000000,37.71,santos19,kepler,Gaia DR3 2051737492562927104,292.059112,37.311553,0.000158
KIC1871483,4861.000000,18.99,santos19,kepler,Gaia DR3 2051739554147359872,292.132376,37.388454,0.000026
KIC1871665,5078.000000,26.85,santos19,kepler,Gaia DR3 2051736255612480640,292.174721,37.347478,0.000032
KIC1872289,4883.000000,34.46,santos19,kepler,Gaia DR3 2051723817387301120,292.310485,37.331200,0.000042
KIC1872433,5082.000000,23.87,santos19,kepler,Gaia DR3 2051723576869159936,292.342997,37.328987,0.000023
KIC1872885,3847.000000,1.85,santos19,kepler,Gaia DR3 2051817069716094336,292.440629,37.346569,0.000199
KIC1873523,3929.000000,20.64,santos19,kepler,Gaia DR3 2051814458376084736,292.581696,37.324651,0.000082
KIC1873543,3850.000000,11.37,santos19,kepler,Gaia DR3 2051815798405934464,292.584489,37.395251,0.000228
KIC1873656,4620.000000,10.98,santos19,kepler,Gaia DR3 2051815076851443840,292.613847,37.383208,0.000081
KIC1874294,4847.000000,32.39,santos19,kepler,Gaia DR3 2051632798442605056,292.753191,37.348851,0.000063
KIC1995089,4513.000000,23.38,santos19,kepler,Gaia DR3 2099083872002024960,286.023068,37.493874,0.000175
KIC1996399,3770.000000,27.04,santos19,kepler,Gaia DR3 2099073838958598016,286.408382,37.426888,0.000137
KIC1996574,4181.000000,20.22,santos19,kepler,Gaia DR3 2099026766117046528,286.454416,37.407064,0.000012
KIC1996637,5138.000000,24.37,santos19,kepler,Gaia DR3 2099028277945715328,286.474014,37.441731,0.000039
KIC1996668,5040.000000,24.19,santos19,kepler,Gaia DR3 2099028277945570048,286.485445,37.442298,0.000031
KIC1996773,5032.000000,8.5,santos19,kepler,Gaia DR3 2099028827701529984,286.522701,37.475201,0.000022
KIC1996936,5097.000000,26.48,santos19,kepler,Gaia DR3 2099028071787210368,286.574946,37.481703,0.000027
KIC2010579,4930.000000,27.07,santos19,kepler,Gaia DR3 2051086306802003712,290.498379,37.481769,0.000071
KIC2010738,4065.000000,26.48,santos19,kepler,Gaia DR3 2051082114913496832,290.534261,37.402525,0.000094
KIC2011417,4641.000000,44.53,santos19,kepler,Gaia DR3 2051035935423885824,290.700927,37.406149,0.000100
KIC2011878,4927.000000,13.33,santos19,kepler,Gaia DR3 2052537833946674176,290.821489,37.492175,0.000063
KIC2012265,4952.000000,33.52,santos19,kepler,Gaia DR3 2052534466692029184,290.904796,37.464241,0.000052
KIC2012486,4955.000000,44.85,santos19,kepler,Gaia DR3 2052533676418049024,290.958182,37.411161,0.000063
KIC2012631,4951.000000,31.06,santos19,kepler,Gaia DR3 2052533813857037312,290.989037,37.435087,0.000099
KIC2012731,3470.000000,35.93,santos19,kepler,Gaia DR3 2052521994107043328,291.015094,37.414627,0.000095
KIC2013284,5174.000000,21.36,santos19,kepler,Gaia DR3 2052522784381117952,291.144309,37.440023,0.000027
KIC2013577,4693.000000,25.23,santos19,kepler,Gaia DR3 2052519554565731456,291.213799,37.409137,0.000073
KIC2013627,4222.000000,14.1,santos19,kepler,Gaia DR3 2052525842397883008,291.225709,37.471765,0.000015
KIC2013754,4505.000000,4.85,santos19,kepler,Gaia DR3 2052525567522993024,291.254317,37.443018,0.000222
KIC2014065,4750.000000,20.21,santos19,kepler,Gaia DR3 2052525120843412736,291.328456,37.465798,0.000149
KIC2014087,4949.000000,27.42,santos19,kepler,Gaia DR3 2051774291843850112,291.334268,37.413189,0.000045
KIC2014203,4376.000000,10.75,santos19,kepler,Gaia DR3 2052526632671920000,291.363555,37.490245,0.000006
KIC2015025,4853.000000,10.17,santos19,kepler,Gaia DR3 2051771955381705216,291.559555,37.421599,0.000023
KIC2015098,5126.000000,26.12,santos19,kepler,Gaia DR3 2051799202654676992,291.578836,37.500015,0.000044
KIC2015124,5105.000000,34.7,santos19,kepler,Gaia DR3 2051795801040568832,291.584464,37.470514,0.000056
KIC2015302,4454.000000,28.38,santos19,kepler,Gaia DR3 2051794667169193728,291.619123,37.411641,0.000053
KIC2015703,4504.000000,21.81,santos19,kepler,Gaia DR3 2051796453875641984,291.708240,37.465871,0.000131
KIC2015767,4248.000000,19.25,santos19,kepler,Gaia DR3 2051796591314613632,291.726507,37.492109,0.000106
KIC2016171,4866.000000,46.75,santos19,kepler,Gaia DR3 2051784118729389696,291.822728,37.454023,0.000128
KIC2016219,4604.000000,17.35,santos19,kepler,Gaia DR3 2051784290528090240,291.832164,37.474012,0.000050
KIC2016599,4590.000000,15.21,santos19,kepler,Gaia DR3 2051780682755569664,291.923274,37.401420,0.000020
KIC2016979,4418.000000,17.11,santos19,kepler,Gaia DR3 2051786352112436352,291.988988,37.453203,0.000047
KIC2017659,4647.000000,19.25,santos19,kepler,Gaia DR3 2051741031610449664,292.140020,37.486128,0.000032
KIC2017962,5122.000000,23.21,santos19,kepler,Gaia DR3 2051739966464337920,292.211538,37.443990,0.000097
KIC2018383,4330.000000,30.21,santos19,kepler,Gaia DR3 2051830710532193920,292.311828,37.447605,0.000137
