starid,Prot,ref,source,source_id,Porb,eccentricity,semi_amplitude_primary,massfunc
KIC10154579,12.71,santos19,kepler,Gaia DR3 2080561258602976896,553.8338008589172,0.2513922935892128,,
KIC10230145,41.55,santos19,kepler,Gaia DR3 2085670242462975488,309.3139909070352,0.1979457290677209,,
KIC10263691,0.45,santos19,kepler,Gaia DR3 2130674009296549760,531.890068625439,0.080586677107211,,
KIC10324900,18.73,santos19,kepler,Gaia DR3 2131415178914091776,729.8731378797443,0.0286822682104545,,
KIC10548508,9.17,santos19,kepler,Gaia DR3 2086589674699171328,424.51838240749805,0.6861819009634934,,
KIC10556022,25.06,santos19,kepler,Gaia DR3 2085715425519509760,600.8189659456615,0.2144367343049944,,
KIC10801273,28.38,santos19,kepler,Gaia DR3 2128853114964897152,109.05671296825044,0.2832567746709812,,
KIC10853806,27.8,santos19,kepler,Gaia DR3 2131013002475932288,466.6597445799644,0.2705755073271333,,
KIC11025991,19.79,santos19,kepler,Gaia DR3 2129479011957044480,295.4645109412056,0.5806785906740979,,
KIC11128748,20.49,santos19,kepler,Gaia DR3 2131221153770157056,579.0902259794719,0.1785192273321277,,
KIC11514078,25.22,santos19,kepler,Gaia DR3 2134842738916439424,445.13401892396234,0.2456357618950178,,
KIC11858760,35.19,santos19,kepler,Gaia DR3 2132722635679268352,322.4247007814183,0.3144139712315296,,
KIC11903656,40.14,santos19,kepler,Gaia DR3 2132169173311357312,427.56607337639207,0.3086024323572209,,
KIC11913531,20.36,santos19,kepler,Gaia DR3 2130092848681850112,548.3902938300415,0.389394105934839,,
KIC11963521,15.0,santos19,kepler,Gaia DR3 2130104565352751360,461.4851384142689,0.1523367646132114,,
KIC11974938,42.72,santos19,kepler,Gaia DR3 2087275117119674240,553.2261912161962,0.1598295712669173,,
KIC12159742,22.42,santos19,kepler,Gaia DR3 2136131435260783616,199.4378986014413,0.1440076081229379,,
KIC12203198,24.88,santos19,kepler,Gaia DR3 2133319846588923392,169.53148969689985,0.0872185539607412,,
KIC12350962,35.92,santos19,kepler,Gaia DR3 2133379598174190720,283.8309626231848,0.2560655024044332,,
KIC12556280,23.21,santos19,kepler,Gaia DR3 2133227350174151168,815.13687967069,0.4613473936838362,,
KIC12600256,24.03,santos19,kepler,Gaia DR3 2133451306947801856,670.172425697647,0.3599998229451978,,
KIC12647383,31.71,santos19,kepler,Gaia DR3 2139226732291065472,889.8169652750645,2.760626153683167e-05,,
KIC757099,0.36,santos21,kepler,Gaia DR3 2050233601176543104,211.3397042591432,0.5924276625623138,,
KIC1297347,13.24,santos21,kepler,Gaia DR3 2051688667374073472,635.2189918940737,0.314367095548603,,
KIC1434259,8.56,santos21,kepler,Gaia DR3 2051704232335480320,8.715017890202484,0.0314617154838972,47.707284632808175,0.09790082315280764
KIC1701554,2.87,santos21,kepler,Gaia DR3 2099066142376993152,2.8616734849378997,0.0176043627568691,91.07590411303144,0.22389156829246595
KIC2013883,26.84,santos21,kepler,Gaia DR3 2052524777245998464,513.4080400668627,0.4643297730567023,,
KIC2304391,24.33,santos21,kepler,Gaia DR3 2051804150457119872,385.78064478280635,0.3691346508909772,20.980459613136183,0.2963253388553226
KIC2572932,33.28,santos21,kepler,Gaia DR3 2052599406599247872,33.78871129850618,0.2242431476730133,25.73386558432081,0.05521864856056457
KIC2576601,8.04,santos21,kepler,Gaia DR3 2052561198569318784,628.6934886291559,0.4800326617580833,,
KIC2580928,22.39,santos21,kepler,Gaia DR3 2051870189872310400,532.5430295528213,0.4618621981476333,,
KIC2718678,24.49,santos21,kepler,Gaia DR3 2051871701703256960,25.291478637852556,0.221311498530792,24.272534592268663,0.034754738529115786
KIC2719823,5.39,santos21,kepler,Gaia DR3 2051861458198347776,694.8355472589458,0.2538492637799309,,
KIC2854863,35.93,santos21,kepler,Gaia DR3 2051908363542642432,72.21117456906306,0.3964590238382277,13.013712176508934,0.012759085413634805
KIC2858134,4.1,santos21,kepler,Gaia DR3 2051873213529761152,4.132153229996348,0.0181258749528558,54.98462901438704,0.07113696919218694
KIC2859024,11.45,santos21,kepler,Gaia DR3 2051875339529497216,458.5501563560449,0.3153509934047976,,
KIC2972471,11.37,santos21,kepler,Gaia DR3 2099223166380421248,705.3226279264097,0.1733150225033059,,
KIC2996629,13.9,santos21,kepler,Gaia DR3 2051877298034583936,829.9039580276049,0.0412792272770451,3.875083117831944,0.004990786859506247
KIC3096409,4.68,santos21,kepler,Gaia DR3 2099929808759840256,4.686040267429954,0.0110492659347424,45.22119074005362,0.04489123649036715
KIC3098888,16.4,santos21,kepler,Gaia DR3 2099957330908995456,677.1572879077472,0.174697342372642,,
KIC3100623,25.72,santos21,kepler,Gaia DR3 2099213064617816832,1130.082660802966,0.4854191256868649,,
KIC3220105,3.29,santos21,kepler,Gaia DR3 2099219936565253632,169.83170612381284,0.3943733715603042,,
KIC3220872,24.65,santos21,kepler,Gaia DR3 2099592293048592768,605.4714655634726,0.3438246942001704,,
KIC3223000,4.87,santos21,kepler,Gaia DR3 2099557894653958144,1837.3200476379936,0.3649506240698659,,
KIC3247139,8.03,santos21,kepler,Gaia DR3 2052118743916856960,7.705070781465061,0.0761012523864307,48.89937841763145,0.09253627830435693
KIC3340951,9.23,santos21,kepler,Gaia DR3 2052649296940185344,0.5992114048722919,0.0913490100432903,7.466734381838469,2.5522453958795912e-05
KIC3341831,16.27,santos21,kepler,Gaia DR3 2052731137537894656,57.76353851048239,0.2996816067128427,26.110485537011716,0.09251379550457513
KIC3545831,6.08,santos21,kepler,Gaia DR3 2052738181284248192,643.1297605500278,0.1689768023185943,,
KIC3631993,30.63,santos21,kepler,Gaia DR3 2099618956206367232,293.2144770425737,0.0312327548043025,,
KIC3743339,23.67,santos21,kepler,Gaia DR3 2052906204701969536,13.73190519153373,0.3049115587751792,10.988487093116545,0.0016307422670698577
KIC3751247,4.98,santos21,kepler,Gaia DR3 2053082332722678912,685.7534470179023,0.3464574528741805,,
KIC3956115,20.65,santos21,kepler,Gaia DR3 2052774263309624704,20.920695419921728,0.2411760320183058,8.50769660413022,0.0012200646286943636
KIC3958507,11.92,santos21,kepler,Gaia DR3 2053091919089749760,496.99768654039826,0.1217448435565474,,
KIC3974277,11.94,santos21,kepler,Gaia DR3 2073180855534236672,12.018572640559016,0.3171251603238478,24.89702272780168,0.016392926191497098
KIC4039714,28.37,santos21,kepler,Gaia DR3 2100074119660664192,284.360358644317,0.1700117838627048,,
KIC4043794,25.57,santos21,kepler,Gaia DR3 2099655308809824384,675.4549282167972,0.1886160649801193,,
KIC4137964,26.3,santos21,kepler,Gaia DR3 2100257630725011712,242.82976395101977,0.4171622971991743,,
KIC4138825,15.54,santos21,kepler,Gaia DR3 2100266465474836352,556.2685946513774,0.4329996162934071,,
KIC4155235,18.57,santos21,kepler,Gaia DR3 2052969014304677120,223.19943660078732,0.3218570894314574,,
KIC4276756,25.22,santos21,kepler,Gaia DR3 2076237051177330048,725.4785815828565,0.143631422900797,,
KIC4283320,15.18,santos21,kepler,Gaia DR3 2073282422918236800,10.948435608049456,0.0554446350529812,47.38141983027813,0.12011014777747814
KIC4374768,2.86,santos21,kepler,Gaia DR3 2052434475551335424,131.88690626457978,0.1076489959442146,,
KIC4456383,11.57,santos21,kepler,Gaia DR3 2101021486368393216,786.521505140816,0.1743383501989941,,
KIC4469448,21.83,santos21,kepler,Gaia DR3 2053129538703684992,47.93189135431245,0.3969357167001051,11.545489167203874,0.005909908161732395
KIC4562148,20.61,santos21,kepler,Gaia DR3 2053363567181693824,590.8681982607717,0.2634497358959871,,
KIC4572456,36.64,santos21,kepler,Gaia DR3 2076447843862777984,399.9933354260555,0.1525261960244447,,
KIC4671891,8.31,santos21,kepler,Gaia DR3 2076307724852549632,8.424916885126745,0.0614282685062146,26.612274727872972,0.01635904345973683
KIC4757871,27.75,santos21,kepler,Gaia DR3 2076456438102801664,27.312633235993236,0.1540063514018977,37.55285536045213,0.14456545457027237
KIC4772834,13.5,santos21,kepler,Gaia DR3 2073473222552297472,245.16264340227332,0.6009216448053826,,
KIC4815965,7.98,santos21,kepler,Gaia DR3 2103349633517631488,1053.2023520158762,0.4343968148143296,,
KIC4823976,6.76,santos21,kepler,Gaia DR3 2099799001235998592,809.2129356386565,0.4196190402909657,,
KIC4831454,5.12,santos21,kepler,Gaia DR3 2101098795780296704,15.11703766762656,0.1686876391243152,4.82384597149309,0.0001683643476022272
KIC4851427,4.81,santos21,kepler,Gaia DR3 2076324977745816320,14.15580330729672,0.2103918042358518,12.230449180844085,0.0025071324717548193
