uid,SHK,SIndex,SIndexSigma,teff,subclass,source
L14083025427235,0.163,0.18577000939917043,0.0034064081417493,5476.26,G6,Isaacson2024
G14077777594724,0.154,0.1977308533543098,0.0075808153686893,5486.31,G7,Isaacson2024
G14078389488533,0.134,0.18035569412545308,0.0056381437455814,5502.632999999999,G3,Isaacson2024
G14076761412349,0.129,0.1760176577379952,0.0073963870164726,5503.09,G7,Isaacson2024
L16700237491958,0.15,0.1760739494757394,0.002783845741012,5516.61,G3,Isaacson2010
G14080719926231,0.165,0.1994980965103546,0.0067223125605549,5519.32,F9,Isaacson2024
G16291010518843,0.18,0.1960285569368144,0.0064062327961553,5528.52,G9,Isaacson2010
G14086649508859,0.156,0.1700623875086514,0.0152929376929396,5528.58,F9,Isaacson2024
G14081264327176,0.17499999999999993,0.19752065232509491,0.009168713948876774,5531.234,G7,Isaacson2024
G14035277394405,0.159,0.19764558953168931,0.0071863236839828995,5543.291,G7,Isaacson2024
L15482264093158,0.1388333333335,0.1882031564392468,0.0010002388344101,5556.15,F9,Isaacson2010
G14083902857853,0.204,0.21383937396699537,0.0030646552195874,5562.994,G5,Isaacson2024
G14074842834235,0.3940000000000001,0.2423682973732427,0.0025511660797285667,5568.973,G5,Isaacson2024
G14027630530387,0.163,0.2151690279901804,0.0100834977798298,5571.26,G5,Isaacson2024
G14075590901511,0.162,0.21529653311192953,0.01085224789022025,5581.83,G7,Isaacson2024
G14032693648465,0.146,0.19729319589718816,0.010028011911648099,5582.82,F9,Isaacson2024
G14080854334859,0.212,0.1997056185046182,0.0047715128882164,5584.89,F9,Isaacson2024
L15853866094050,0.1981,0.1865790230091374,0.0108351812864189,5586.365,G3,BoroSaikia2018
L16702933602099,0.3725,0.2374946805208268,0.0039907316251101,5586.61,F9,Isaacson2010
G14074384312927,0.11,0.17856805222430316,0.00991917982049105,5602.8,F9,Isaacson2024
G14059218773420,0.329,0.2315211657400983,0.0066101369420627,5604.5,G5,Isaacson2024
G14075960099215,0.144,0.1921858424358331,0.010629130071727,5607.42,G4,Isaacson2024
G14024234155711,0.1639999999999999,0.1851621223238206,0.0135114852548182,5608.25,F9,Isaacson2024
L16700836388843,0.32475000000000004,0.2331102633457623,0.0041475354139509,5618.61,F9,Isaacson2010
G14028955185905,0.168,0.2246385107857592,0.0147637960180005,5621.29,F9,Isaacson2024
L16714594951430,0.3156666666665,0.2363039997778047,0.0019264356860531,5622.78,F9,Isaacson2010
L16753279248803,0.3023333333335,0.2368942046091222,0.0077006315834607,5625.65,F9,Isaacson2010
G14071525796167,0.152,0.1875244786824574,0.0058756925374772,5635.55,G2,Isaacson2024
L15138407042070,0.1833,0.1946886385933179,0.0008980504079665,5636.28,G3,BoroSaikia2018
L17295399696944,0.17274999999999996,0.18025242172670475,0.0079685851711434,5637.003,F9,Isaacson2010
L15026370953551,0.1849166666665,0.1982127280820341,0.0040353267909599,5643.96,G3,Isaacson2010
L14081010629036,0.163,0.2450314878455995,0.003857266368449,5647.02,G4,Isaacson2024
G14030101543327,0.26500000000000007,0.22256911712532135,0.01154303262126285,5648.503,G5,Isaacson2024
G13442987694987,0.43458333333349997,0.2485683245662369,0.0039915861395504,5669.76,G7,Isaacson2010
G14086004226791,0.15,0.2002640545750277,0.0076012539729885,5675.33,G3,Isaacson2024
L9032700068414,0.202,0.2020865582898521,0.001714147257257,5676.27,F5,BoroSaikia2018
G14033334314494,0.125,0.1979327265047539,0.0098654365174151,5678.45,G4,Isaacson2024
G16662899441586,0.14683333333350002,0.1757363774548669,0.0075169477512048,5682.34,G2,Isaacson2010
G14027876004163,0.162,0.2187765726827041,0.0022117928199391,5684.47,G3,Isaacson2024
G14030738039550,0.126,0.19091761425875065,0.0097558241013405,5684.595,G2,Isaacson2024
G14078381542409,0.148,0.1898691536916174,0.0080272378319687,5690.23,G3,Isaacson2024
G14031311463687,0.145,0.2002543605328043,0.0047148994130764,5695.66,G4,Isaacson2024
G14078525805381,0.149,0.2014644574269856,0.006612840549214,5701.291,G3,Isaacson2024
G14033491834170,0.129,0.19215712793023154,0.00926774294091615,5705.735,G3,Isaacson2024
G14087213801336,0.163,0.2320612464659744,0.0093097545592525,5712.175,G3,Isaacson2024
G14080789620898,0.412,0.25671709384258734,0.0069561393745039505,5713.495,G4,Isaacson2024
