uid,CaIIHK_snr,SIndex,SIndexSigma,SIndexOri,SIndexOriSigma,source_id,ra,dec,type,period,eccentricity,K1,mass_ratio,f1,f1err,f2,f2err,inclination,teff,teff_err,logg,logg_err,feh,feh_err,logrRprimehk,logrRprimehkerr,logrRprimehkerrUniform,w3mag,w3magerr,kmag,kmagerr,Gmag,BpRp,iso_mass,iso_mass_err,iso_rad,iso_rad_err,iso_lum,iso_lum_err
G10034120961507,36.534782,0.679151,0.043471,0.300887,0.008471,Gaia DR3 3075206793073952000,129.45069,-0.036657,SB1,5.066267341437373,0.1644121007178172,52.83210711370073,,,,,,,7253.47,22.32,4.029,0.031,-0.152,0.018,-3.80917,0.03021,0.07032,11.251,0.149,11.513,0.024,12.3280325,0.46964836,1.5483517010081682,0.0238705485512988,1.956498264382152,0.0818465259925072,9.554566097648518,0.8923741882769969
G10034152266216,22.922142,0.526267,0.068454,0.271097,0.013339,Gaia DR3 3075194110034843648,129.92253,-0.080319,SB1,0.901166542185416,0.1019193309136509,33.29784373981233,,,,,,,6664.85,22.88,4.174,0.032,-0.005,0.019,-3.98179,0.06616,0.09967,10.905,0.109,10.907,0.019,11.870388,0.56398106,1.348248004357841,0.0249701327161163,1.5301556759813666,0.0786520644129977,4.137611191007365,0.4779338098864935
G10034168651335,28.531158,0.286872,0.057818,0.224449,0.011266,Gaia DR3 3075136389970131200,129.78579,-0.343805,SB1,11.519766272405244,0.3457644386947358,26.29137480499081,,,,,,,6024.041,20.083,4.086,0.028,0.008,0.017,-4.4488,,,10.702,0.105,10.853,0.023,12.113789,0.75041485,1.1565731996784945,0.0203204601532237,1.6118601137499688,0.0626301415574508,3.11624541070849,0.2452057748417765
G10034174987862,14.312478,0.074129,0.111459,0.182995,0.021718,Gaia DR3 3075186619611886720,129.720604,-0.166098,SB1,138.95115560196848,0.041663703398109,15.775273932977775,,,,,,,,,,,,,,,,10.828,0.105,10.674,0.023,12.255157,0.9294567,1.39646012030939,0.0274888305520818,2.646651908625749,0.116342056482697,5.310439802966084,0.5237113619721776
G10034445301593,31.567912,0.409681,0.065002,0.248379,0.012666,Gaia DR3 3072315249292008832,130.23605,-2.630536,SB1,1.7658926332100553,0.0703308051446149,14.83257419218962,,,,,,,6535.123,36.64,4.21,0.052,-0.052,0.034,-4.13026,0.08747,,11.409,0.203,11.258,0.023,12.358487,0.63642216,1.2493548110625747,0.0255089474721787,1.4269351659798273,0.1017727335516385,3.355092534778336,0.4806188888485574
G10034566084449,93.68003,0.735994,0.016471,0.311963,0.003209,Gaia DR3 3072534189544802816,130.160646,-1.776156,SB1,1.0889217981676096,0.0369057428707505,65.51876800911691,,,,,,,7378.45,11.66,3.945,0.014,-0.14,0.007,-3.76711,0.01044,0.0639,10.224,0.075,10.304,0.019,10.986116,0.3901844,,,,,,
G10034631850316,44.256626,0.099892,0.035189,0.188015,0.006857,Gaia DR3 3072367476094281472,130.330948,-2.182616,SB1,484.7173339571077,0.3274370736453038,8.01481043000667,,,,,,,6003.76,28.82,4.13,0.04,0.035,0.023,-5.75631,,,10.565,0.084,10.574,0.021,11.854032,0.7516289,1.1380277196835735,0.0198819264574782,1.50001303786353,0.0828470569082742,2.6290176036067745,0.3013735918788062
G10034631850316,44.256626,0.099892,0.035189,0.188015,0.006857,Gaia DR3 3072367476094281472,130.330948,-2.182616,Orbital,537.1420230559603,0.1819658077135788,,,,,,,,6003.76,28.82,4.13,0.04,0.035,0.023,-5.75631,,,10.565,0.084,10.574,0.021,11.854032,0.7516289,1.1380277196835735,0.0198819264574782,1.50001303786353,0.0828470569082742,2.6290176036067745,0.3013735918788062
G10034664218042,36.41267,0.192328,0.043824,0.206027,0.008539,Gaia DR3 3074258975395913216,131.981733,-0.270762,SB1,157.48119312662865,0.3127420840943786,17.0713703166717,,,,,,,5503.79,30.6,4.406,0.043,-0.039,0.025,-4.87959,,,10.631,0.089,10.838,0.021,12.50432,0.9353218,0.8794988711039572,0.0101610690816156,0.960790919825272,0.0457999703985966,0.761038789414788,0.0766295172969898
G10034664218042,36.41267,0.192328,0.043824,0.206027,0.008539,Gaia DR3 3074258975395913216,131.981733,-0.270762,Orbital,159.8801642698423,0.3390745140769974,,,,,,,,5503.79,30.6,4.406,0.043,-0.039,0.025,-4.87959,,,10.631,0.089,10.838,0.021,12.50432,0.9353218,0.8794988711039572,0.0101610690816156,0.960790919825272,0.0457999703985966,0.761038789414788,0.0766295172969898
