wavelength_470712060,flux_470712060,wavlength_139202084,flux_139202084,wavelength_392605166,flux_392605166,wavelength_455405241,flux_455405241
3767.5164,1.0,3766.6313,1.0,3767.3584,1.0,3768.19,1.0
3768.3843,1.0,3767.4993,1.0,3768.2263,1.0,3769.0579,1.0
3769.2522,1.0,3768.3672,1.0,3769.0942,1.0,3769.9258,1.0
3770.1206,1.0,3769.2356,1.0,3769.9626,1.0,3770.7942,1.0
3770.989,1.0,3770.104,1.0,3770.831,1.0,3771.6626,1.0
3771.858,1.0,3770.973,1.0,3771.7,1.0,3772.5315,1.0
3772.7266,1.0,3771.8416,1.0,3772.5686,1.0,3773.4001,1.0
3773.5957,1.0,3772.7107,1.0,3773.4377,1.0,3774.2693,1.0
3774.465,1.0,3773.58,1.0,3774.3071,1.0,3775.1387,1.0
3775.3345,1.0,3774.4495,1.0,3775.1765,1.0,3776.008,1.0
3776.2043,1.0,3775.3193,1.0,3776.0464,1.0,3776.878,1.0
3777.0742,1.0,3776.1892,1.0,3776.9163,1.0,3777.7478,1.0
3777.9443,1.0,3777.0593,1.0,3777.7864,1.0,3778.618,1.0
3778.8145,1.0,3777.9294,1.0,3778.6565,1.0,3779.488,1.0
3779.685,1.0,3778.8,1.0,3779.527,1.0,3780.3586,1.0
3780.5557,1.0,3779.6707,1.0,3780.3977,1.0,3781.2292,1.0
3781.4265,1.0,3780.5415,1.0,3781.2686,1.0,3782.1,1.0
3782.2976,1.0,3781.4126,1.0,3782.1396,1.0,3782.9712,1.0
3783.169,1.0,3782.284,1.0,3783.011,1.0,3783.8425,1.0
3784.0405,1.0,3783.1555,1.0,3783.8826,1.0,3784.714,1.0
3784.912,1.0,3784.027,1.0,3784.7542,1.0,3785.5857,1.0
3785.7842,1.0,3784.8992,1.0,3785.6262,1.0,3786.4578,1.0
3786.6562,1.0,3785.7712,1.0,3786.4983,1.0,3787.3298,1.0
3787.5286,1.0,3786.6436,1.0,3787.3706,1.0,3788.2021,1.0
3788.401,1.0,3787.5159,1.0,3788.243,1.0,3789.0745,1.0
3789.2737,1.0,3788.3887,1.0,3789.1157,1.0,3789.9473,1.0
3790.1465,1.0,3789.2615,1.0,3789.9885,1.0,3790.82,1.0
3791.0198,1.0,3790.1348,1.0,3790.8618,1.0,3791.6934,1.0
3791.893,1.0,3791.008,1.0,3791.735,1.0,3792.5667,1.0
3792.7666,1.0,3791.8816,1.0,3792.6086,1.0,3793.4402,1.0
3793.6401,1.0,3792.7551,1.0,3793.4822,1.0,3794.3137,1.0
